VM,Task,pr,Selection_Type,ALO-Execution time(s),HBA-Execution time(s),HGA-Execution time(s)
60,750,0.5,Balanced pr,471.8699756,28.03158498,27.32368398
60,750,0.75,High pr,470.6145041,27.79928303,27.53272963
60,750,0.9,Extreme pr,471.7016771,29.25912786,27.21695089
60,750,1,max pr,472.179853,27.96034408,27.49182677
75,750,0,Baseline Experiment,470.84846,28.76685333,27.302104
75,750,0.1,Low pr,473.3701677,28.87185216,27.30728793
75,750,0.25,Moderate pt,471.3533363,30.09960365,27.21239662
75,750,0.5,Balanced pr,472.5826199,27.81703472,27.4645927
75,750,0.75,High pr,470.8460312,28.01308799,27.21419692
75,750,0.9,Extreme pr,475.3917775,28.07586002,27.52304482
75,750,1,max pr,472.6561069,29.37819505,27.31398344
90,750,0,Baseline Experiment,475.4853089,28.33183432,27.45225
90,750,0.1,Low pr,471.7380109,28.41928673,27.46467686
90,750,0.25,Moderate pt,473.345196,28.31025267,27.59533024
90,750,0.5,Balanced pr,474.5053284,29.00115371,27.41404939
90,750,0.75,High pr,476.2183335,30.51127195,27.37449074
90,750,0.9,Extreme pr,473.2789538,28.13873863,27.55217671
90,750,1,max pr,474.9226384,28.27006435,27.30277419
30,1000,0,Baseline Experiment,734.2694716,36.22296429,35.43473935
30,1000,0.1,Low pr,738.2363169,37.00140357,35.2304101
30,1000,0.25,Moderate pt,730.7674422,36.83190107,35.49352527
30,1000,0.5,Balanced pr,727.1848426,35.65287304,35.6000762
30,1000,0.75,High pr,725.7749932,37.56325459,35.3471303
30,1000,0.9,Extreme pr,725.7749932,36.84027314,35.48946404
30,1000,1,max pr,731.7557194,37.15596938,35.43635583
45,1000,0,Baseline Experiment,732.0793283,35.21160841,35.42268729
45,1000,0.1,Low pr,726.6413546,36.3871758,35.14877605
45,1000,0.25,Moderate pt,726.3644781,36.96265483,35.24930692
45,1000,0.5,Balanced pr,724.6408098,35.5893867,35.24328494
45,1000,0.75,High pr,705.6988678,36.72379518,35.22297764
45,1000,0.9,Extreme pr,707.5241153,36.74699235,35.22014046
45,1000,1,max pr,706.2052984,35.58087969,35.29272485
60,1000,0,Baseline Experiment,708.0984154,36.47861481,35.71362185
60,1000,0.1,Low pr,705.8225634,38.03587508,35.12540603
60,1000,0.25,Moderate pt,710.5348289,37.87496567,35.21931648
60,1000,0.5,Balanced pr,709.2665608,35.93832278,35.43797755
60,1000,0.75,High pr,707.6413896,36.73691416,35.63724804
60,1000,0.9,Extreme pr,706.3802891,36.74532843,35.51772642
60,1000,1,max pr,705.6004319,35.79214454,35.55292535
75,1000,0,Baseline Experiment,707.4809017,36.45665121,35.55500913
75,1000,0.1,Low pr,707.3279142,37.22149372,35.59622908
75,1000,0.25,Moderate pt,709.426264,36.2466135,35.60857058
75,1000,0.5,Balanced pr,712.9224143,36.24263525,35.50863981
75,1000,0.75,High pr,706.63903,37.2495892,35.34379029
75,1000,0.9,Extreme pr,712.2743552,37.15829515,35.67285752
75,1000,1,max pr,705.8335986,35.64543128,35.48513937
90,1000,0,Baseline Experiment,706.7853279,37.37675691,35.81155181
90,1000,0.1,Low pr,704.2138827,37.68854094,35.87516165
90,1000,0.25,Moderate pt,707.2807739,36.7873466,35.83091044
90,1000,0.5,Balanced pr,729.4251924,35.94677854,35.63231754
90,1000,0.75,High pr,733.0543798,37.34245825,35.8026855
90,1000,0.9,Extreme pr,728.8551712,37.19665599,35.97241545
90,1000,1,max pr,756.6273691,35.62646699,35.89629936
